title,Fdc1 @ 350 K,,,,,,,
plot_type,multi-line,,,,,,,
x_label,Time (ns),,,,,,,
y_label,Secondary structure (%),,,,,,,
x_unit,ns,,,,,,,
y_unit,%,,,,,,,
color,#000000,#FD5200,#0000FF,#FF8000,#68D2FB,#000080,#009F00,#800080
label,None,Parallel Beta-sheet,Anti Beta-sheet,3-10 helix,Alpha helix,Pi(3-14) helix,Turn,Bend
axis_x,axis_y,axis_y,axis_y,axis_y,axis_y,axis_y,axis_y,axis_y
0.344,0.24458,0.06312,0.12821,0.04438,0.21696,0.00493,0.15089,0.15089
0.346,0.24655,0.0572,0.13807,0.0217,0.22189,0,0.17061,0.14793
0.348,0.23767,0.06213,0.14103,0.03748,0.22189,0.00493,0.14694,0.15187
0.35,0.2426,0.06312,0.13314,0.03846,0.214,0,0.16075,0.15187
0.352,0.24951,0.06607,0.13412,0.03156,0.22682,0.00493,0.15286,0.13807
0.354,0.25049,0.05917,0.13116,0.03254,0.22485,0,0.14892,0.1568
0.356,0.24359,0.05917,0.13905,0.0355,0.21893,0.00493,0.14892,0.15385
0.358,0.23669,0.06607,0.13511,0.03649,0.20907,0,0.16174,0.15878
0.36,0.24063,0.06114,0.14004,0.02761,0.21499,0,0.15976,0.15976
0.362,0.24359,0.0572,0.13609,0.03156,0.22091,0.00493,0.15286,0.1568
0.364,0.24852,0.06312,0.12821,0.02761,0.22288,0,0.15878,0.15483
0.366,0.24162,0.05621,0.14004,0.02959,0.23077,0,0.14694,0.15878
0.368,0.24162,0.05424,0.14201,0.0286,0.22485,0.00493,0.1568,0.15089
0.37,0.24655,0.06114,0.13314,0.03748,0.22091,0,0.1499,0.15483
0.372,0.23767,0.05819,0.14103,0.03945,0.21499,0.00493,0.1499,0.15779
0.374,0.2426,0.05819,0.143,0.0355,0.22288,0.00493,0.14497,0.15187
0.376,0.23669,0.06016,0.13708,0.03846,0.22584,0,0.15582,0.1499
0.378,0.24359,0.06016,0.14201,0.04339,0.2288,0.00493,0.13215,0.14892
0.38,0.23373,0.06509,0.13511,0.03846,0.22091,0,0.15187,0.15878
0.382,0.2426,0.06016,0.13609,0.03846,0.21795,0,0.15483,0.15385
0.384,0.23669,0.06213,0.13905,0.04142,0.22584,0,0.14497,0.15385
0.386,0.23176,0.06016,0.14103,0.04142,0.22781,0.00493,0.13708,0.15976
0.388,0.24458,0.05424,0.14103,0.03254,0.21992,0.00493,0.15187,0.15483
0.39,0.23767,0.05917,0.13708,0.03945,0.22387,0.00493,0.143,0.15878
0.392,0.23373,0.0641,0.14004,0.03649,0.22189,0,0.15089,0.1568
0.394,0.23176,0.06016,0.14201,0.0355,0.21598,0.00493,0.15286,0.16075
0.396,0.23767,0.06114,0.14596,0.03649,0.22781,0.00493,0.14201,0.14793
0.398,0.24458,0.05819,0.14201,0.0286,0.21992,0.00493,0.14694,0.15878
0.4,0.24162,0.06312,0.13807,0.03057,0.22485,0.00493,0.14103,0.15976
0.402,0.24951,0.05523,0.14004,0.0355,0.214,0,0.15878,0.15089
