# m/z,Intensity
771.4000,139.8387
771.5000,63.3478
771.6000,30.7226
771.7000,13.4559
771.8000,18.4172
771.9000,24.6194
772.0000,18.1505
772.1000,23.0000
772.2000,13.3000
772.3000,8.1247
772.4000,5.3043
772.5000,8.8602
772.6000,9.0355
772.7000,8.4000
772.8000,8.5261
772.9000,4.5398
773.0000,4.5598
773.1000,0.2409
773.2000,7.8346
773.3000,4.3258
773.4000,4.8000
773.5000,3.5753
773.6000,3.4989
773.7000,4.0000
773.8000,3.0913
773.9000,3.4688
774.0000,2.6739
774.1000,3.6228
774.2000,1.1978
774.3000,1.0226
774.4000,5.6946
774.5000,0.9839
774.6000,1.5140
774.7000,1.0000
774.8000,4.7505
774.9000,1.1011
775.0000,2.2366
775.1000,2.4118
775.2000,1.1957
775.3000,1.2968
775.4000,3.0304
775.5000,2.1452
775.6000,0.9935
775.7000,2.0000
775.8000,1.4065
775.9000,2.6677
776.0000,4.8387
776.1000,1.8000
776.2000,2.6097
776.3000,1.0516
776.4000,1.0000
776.5000,2.0638
776.6000,4.7817
776.7000,2.2129
776.8000,2.8032
776.9000,3.3681
777.0000,1.0161
777.1000,3.6387
777.2000,2.7468
777.3000,4.0000
777.4000,2.2398
777.5000,5.2581
777.6000,9.9237
777.7000,7.7011
777.8000,5.0946
777.9000,4.5118
778.0000,2.0591
778.1000,4.4495
778.2000,0.3452
778.3000,4.0000
778.4000,1.7427
778.5000,3.0486
778.6000,2.1484
778.7000,1.0677
778.8000,1.5527
778.9000,1.4796
779.0000,3.9355
779.1000,1.1645
779.2000,1.8839
779.3000,1.4204
779.4000,4.5742
779.5000,3.0000
779.6000,2.8000
779.7000,1.4097
779.8000,1.8516
779.9000,1.8247
780.0000,1.9677
780.1000,1.2398
780.2000,0.9161
780.3000,2.3312
780.4000,0.1255
780.5000,1.0000
780.7000,2.0400
780.8000,0.7330
780.9000,1.1021
781.0000,2.8333
781.1000,1.6151
781.2000,1.0000
781.3000,0.8128
781.4000,2.9129
781.5000,0.7419
781.6000,1.5862
781.7000,0.6255
781.8000,0.0871
781.9000,0.1298
782.0000,1.9516
782.1000,1.1447
782.2000,1.0000
782.3000,2.9699
782.4000,0.4830
782.5000,2.4624
782.6000,2.2492
782.7000,2.7465
782.9000,0.6309
783.1000,0.1796
783.2000,0.9505
783.3000,0.5570
783.5000,0.7366
783.6000,1.0344
783.7000,1.0000
783.8000,2.1527
783.9000,0.3436
784.0000,1.2151
784.3000,2.0000
784.5000,1.9412
784.6000,1.3011
784.7000,1.0000
784.8000,1.7731
784.9000,1.0128
785.0000,0.4839
785.1000,1.5183
785.2000,1.7215
785.3000,1.9617
785.4000,0.7989
785.5000,0.8817
785.6000,0.3160
785.7000,0.2362
785.8000,2.0000
785.9000,2.4064
786.1000,0.1085
786.2000,1.0000
786.3000,0.3893
786.5000,0.8777
786.6000,1.7462
786.7000,0.7468
786.8000,1.6213
786.9000,1.7383
787.0000,0.1183
787.1000,0.3688
787.2000,0.7613
787.5000,1.6290
787.7000,1.7468
787.8000,1.7362
788.0000,1.0000
788.1000,0.9005
788.3000,0.8170
788.4000,0.6670
788.7000,2.1149
788.8000,1.6978
788.9000,1.9596
789.1000,0.5234
789.3000,0.0043
789.5000,0.4787
789.7000,1.0000
790.1000,0.2404
790.2000,0.3787
790.3000,1.2957
790.6000,1.3660
790.8000,0.0128
791.0000,0.5319
791.1000,0.3979
791.4000,0.6245
791.5000,0.9043
791.6000,0.8266
791.7000,0.9064
791.8000,0.8330
791.9000,0.0021
792.0000,0.7181
792.1000,1.0000
792.2000,1.1691
792.3000,1.0000
792.4000,1.2191
792.5000,1.0000
792.6000,0.0500
792.7000,0.2351
792.8000,0.4851
793.0000,1.8511
793.1000,0.7085
793.2000,1.6447
793.3000,1.0000
793.4000,2.5747
793.5000,0.4947
793.6000,1.5537
793.8000,0.7106
793.9000,0.6351
794.0000,1.0000
794.1000,2.0000
794.2000,0.5117
794.3000,1.2063
794.4000,1.0819
794.5000,2.2553
794.6000,1.9883
794.7000,0.0463
794.8000,2.7484
794.9000,1.4553
795.0000,1.0000
795.1000,0.8745
795.2000,1.0000
795.3000,3.1511
795.4000,2.0075
795.5000,2.6277
795.6000,1.5830
795.7000,1.0000
795.8000,2.5916
795.9000,1.9936
796.0000,3.0000
796.1000,3.9011
796.2000,3.6042
796.3000,1.6126
796.4000,3.0253
796.5000,5.2926
796.6000,2.4021
796.7000,6.6213
796.8000,5.7883
796.9000,5.9745
797.0000,6.6277
797.1000,4.8851
797.2000,5.1468
797.3000,2.2723
797.4000,3.0389
797.5000,4.0213
797.6000,13.0436
797.7000,31.0000
797.8000,44.2915
797.9000,22.6128
798.0000,16.0000
798.1000,12.8053
798.2000,10.9745
798.3000,8.1819
798.4000,8.2979
798.5000,24.8830
798.6000,103.1191
798.7000,312.4574
798.8000,395.6800
798.9000,266.2147
799.0000,110.1702
799.1000,42.2894
799.2000,25.2758
799.3000,22.8460
799.4000,26.0000
799.5000,29.0851
799.6000,38.9181
799.7000,18.2170
799.8000,19.4479
799.9000,13.8702
800.0000,6.3723
800.1000,13.0000
800.2000,7.6766
800.3000,7.3064
800.4000,6.0000
800.5000,5.6043
800.6000,2.3766
800.7000,2.0000
800.8000,6.0000
800.9000,2.2042
801.0000,3.8511
801.1000,3.2495
801.2000,3.0000
801.3000,1.8064
801.4000,3.7362
801.5000,2.1755
801.6000,1.7747
801.7000,1.7206
801.8000,1.1043
801.9000,2.6149
802.0000,2.0000
802.1000,2.0000
802.2000,1.3800
802.3000,3.7095
802.4000,4.9606
802.5000,3.1053
802.6000,2.2916
802.7000,0.0968
802.8000,3.6160
802.9000,2.5566
803.0000,2.8936
803.1000,2.0000
803.2000,3.4653
803.3000,3.2179
803.4000,3.7809
803.5000,2.7500
803.6000,5.5851
803.7000,2.1468
803.8000,3.3106
803.9000,4.0000
804.0000,2.4550
