title,t-SNE - multiple sets,,
plot_type,scatter,,
x_label,Component 1,,
y_label,Component 2,,
color,#1abc9c,,#a121dd
axis_x,axis_y,axis_x,axis_y
,,-34.9096,-5.1801
,,-44.5682,-12.6024
,,-48.1675,-1.53
,,-46.3572,-5.4651
,,-32.4758,11.3436
,,-28.5445,5.3687
,,-4.1796,-20.1238
,,-4.8551,-20.1156
,,-43.6973,-12.3057
,,-34.0029,-2.4726
,,-29.9701,7.2974
,,-47.1429,-11.5353
,,-44.9487,-9.8022
,,-43.2223,-10.8556
,,41.1153,-38.8715
,,52.6216,-13.5153
,,52.3218,1.5464
,,17.6159,15.5484
,,27.9726,14.2763
,,29.6412,5.181
,,32.305,2.3156
,,19.273,13.8675
,,28.3675,20.5538
,,39.853,2.9583
,,44.3801,-4.1944
,,19.3232,28.898
,,49.0802,-5.3651
,,38.6374,11.804
,,3.7637,29.2503
,,32.5988,5.617
,,52.4498,-10.1238
,,45.436,10.6302
,,48.9943,3.6719
,,19.8143,26.4745
,,-24.4888,20.7305
,,32.2052,9.9098
,,20.5098,28.061
,,-18.2289,23.5432
,,36.9102,-5.5119
,,-36.3995,11.851
,,-26.2227,20.3699
,,-21.7602,23.5279
,,-38.1279,14.8883
,,-26.012,22.0344
,,-7.6963,-19.2489
,,8.308,-26.6567
,,1.921,-21.9056
,,-33.6309,-18.2705
,,-49.9932,-6.8849
,,-48.5468,-6.2344
,,-39.8087,-2.3554
,,-35.4856,-20.0771
,,-35.8176,-19.7766
,,-42.3453,-16.2464
,,-52.4764,-4.9693
,,-53.0578,-5.6977
,,-49.5071,-9.6683
,,-44.8857,-20.2939
,,-34.3135,-4.5009
,,41.4501,-36.9211
,,52.032,-1.9113
,,42.7497,12.802
,,33.7311,0.2959
,,39.2427,7.6121
,,39.8403,7.7322
,,53.2954,-11.5124
,,50.4284,-7.6638
,,27.6599,3.8919
,,47.5633,0.7897
,,50.6552,6.1141
,,52.1884,-18.3451
,,38.9197,13.376
,,23.2062,27.6613
,,29.2179,-11.74
,,11.8563,-25.8608
,,8.2825,-24.777
,,45.9983,10.754
,,31.6953,14.0394
,,16.6134,22.2408
,,38.8654,-7.1916
,,48.4071,-5.6745
,,-21.4442,24.636
,,-38.4427,16.337
,,-38.125,15.9725
,,-36.1943,11.6177
,,-16.6154,26.1317
,,-21.6219,23.7251
,,-29.3732,10.9083
,,25.0671,28.0993
,,-3.6465,-20.5266
,,8.8337,-28.1627
,,6.7414,-26.3556
,,-46.7769,-0.0563
,,-27.9532,12.1967
,,-3.4616,34.7275
,,-33.4375,7.8158
,,-13.0027,14.9208
,,-46.7906,-18.4557
,,-45.2315,-1.2678
,,-36.1574,2.7004
,,-42.223,-19.7689
,,-39.2514,-13.7117
,,-34.5933,-6.0377
,,-28.2962,-20.753
,,42.7528,-36.0256
,,51.6395,-11.7289
,,33.2081,1.3952
,,44.8594,-13.559
,,41.9146,8.7576
,,31.5499,3.8118
,,50.5486,-0.791
,,32.7209,2.4432
,,42.3282,6.8443
,,42.5783,7.9127
,,26.2844,12.1015
,,29.4344,11.7617
,,45.2806,-4.3101
,,44.805,-16.3204
,,43.3172,-4.5805
,,42.91,-27.8454
,,4.2998,-22.373
,,9.3943,26.1534
,,6.957,24.4622
,,17.3167,23.2169
,,46.0081,-5.9361
,,16.5351,21.2844
,,38.3562,4.7963
,,-1.8256,30.8672
,,-34.5529,17.3013
,,-23.7946,18.9662
,,2.6102,30.8855
,,-14.7954,16.9115
,,-54.9111,1.4328
,,-23.0201,20.2257
,,34.4997,21.4663
,,10.7435,30.5832
,,-7.8018,-19.3605
,,-29.698,0.9398
,,-37.6863,16.5604
,,-32.1423,14.8612
,,-24.87,12.2367
,,-47.9747,-7.2764
,,-52.4806,-5.2161
,,-46.7504,-7.668
,,-19.2785,8.0083
,,-51.4804,-9.5788
,,-34.6675,-20.5212
,,-10.1846,-20.0198
,,7.176,-26.9575
,,41.9534,-37.4604
,,29.7559,-13.9243
,,29.2198,-9.4247
,,21.7616,17.7929
,,30.151,-9.726
,,41.3082,7.3962
,,28.7785,5.0587
,,27.8251,-15.5982
,,21.0634,12.9564
,,41.9204,-4.3684
,,48.0103,1.0395
,,19.1212,24.6894
,,34.1637,18.4925
,,48.6915,-7.3164
,,38.948,-6.6216
,,53.7202,-10.8246
,,32.2645,19.5106
,,45.5777,6.1088
,,38.7919,18.3382
,,45.6991,0.6878
,,39.9869,-7.1037
,,15.8178,22.087
,,16.0731,21.5492
,,5.2358,30.8701
,,8.8451,39.3636
,,2.5845,35.492
,,34.7855,4.4965
,,6.1692,24.7293
,,-36.3722,-1.426
,,3.7011,35.193
,,-45.271,-4.4075
,,-20.0439,22.2026
,,4.3814,37.6258
,,-31.8217,11.5232
,,3.1184,30.2005
,,-40.1122,6.1754
,,-16.1092,26.6702
,,-54.2864,-0.3128
,,-43.873,-5.1465
,,-32.4098,12.4377
,,-51.7272,-5.0194
,,-44.4733,-14.4636
,,-27.5588,-20.7921
,,5.2599,-25.3867
,,7.6914,-29.9286
,,41.467,-39.3817
,,44.4106,-26.0542
,,52.6176,-4.655
,,6.0713,-23.0317
,,9.7001,-26.6267
