title,Fdc1 @ 350 K - multiple X-axis,,,,,,,,,,,,,
plot_type,multi-line,,,,,,,,,,,,,
x_label,Time (ns),,,,,,,,,,,,,
y_label,Secondary structure (%),,,,,,,,,,,,,
x_unit,ns,,,,,,,,,,,,,
y_unit,%,,,,,,,,,,,,,
color,#000000,,#FD5200,,#0000FF,,#FF8000,,#68D2FB,,#000080,#009F00,,#800080
label,None,,Parallel Beta-sheet,,Anti Beta-sheet,,3-10 helix,,Alpha helix,,Pi(3-14) helix,Turn,,Bend
axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_y,axis_x,axis_y
0.156,0.24359,0.156,0.06016,0.156,0.14201,0.156,0.03254,0.156,0.2357,0.156,0,0.14004,0.156,0.1499
0.158,0.23866,0.158,0.06016,0.158,0.14103,0.158,0.0355,0.158,0.23176,0.158,0,0.1499,0.158,0.14694
0.16,0.24556,0.16,0.06016,0.16,0.13511,0.16,0.03945,0.16,0.21992,0.16,0,0.14892,0.16,0.15483
0.162,0.24359,0.162,0.06706,0.162,0.13511,0.162,0.03353,0.162,0.23077,0.162,0,0.15089,0.162,0.143
0.164,0.25148,0.164,0.06312,0.164,0.12722,0.164,0.02959,0.164,0.22584,0.164,0,0.16371,0.164,0.143
0.166,0.24162,0.166,0.06016,0.166,0.14398,0.166,0.04536,0.166,0.22387,0.166,0,0.14694,0.166,0.14201
0.168,0.23077,0.168,0.06312,0.168,0.143,0.168,0.0355,0.168,0.22288,0.168,0,0.15582,0.168,0.15286
0.17,0.2357,0.17,0.06213,0.17,0.13905,0.17,0.04438,0.17,0.21893,0.17,0,0.143,0.17,0.16075
0.172,0.23471,0.172,0.06213,0.172,0.13511,0.172,0.03649,0.172,0.22091,0.172,0,0.16174,0.172,0.15286
0.174,0.23964,0.174,0.05819,0.174,0.13905,0.174,0.04142,0.174,0.22288,0.174,0,0.13905,0.174,0.16371
0.176,0.2426,0.176,0.0572,0.176,0.13609,0.176,0.04339,0.176,0.22387,0.176,0,0.15582,0.176,0.14497
0.178,0.24852,0.178,0.05621,0.178,0.13412,0.178,0.0286,0.178,0.22584,0.178,0,0.16371,0.178,0.14694
0.18,0.24753,0.18,0.0572,0.18,0.13314,0.18,0.03254,0.18,0.21992,0.18,0.00493,0.1568,0.18,0.15187
0.182,0.24359,0.182,0.05325,0.182,0.13412,0.182,0.02761,0.182,0.23471,0.182,0,0.15483,0.182,0.15582
0.184,0.23964,0.184,0.05819,0.184,0.13708,0.184,0.02564,0.184,0.22978,0.184,0,0.15779,0.184,0.15582
0.186,0.25049,0.186,0.05523,0.186,0.13807,0.186,0.02959,0.186,0.22584,0.186,0,0.15089,0.186,0.15385
0.188,0.24063,0.188,0.05424,0.188,0.14103,0.188,0.03748,0.188,0.22189,0.188,0,0.15187,0.188,0.1568
0.19,0.2357,0.19,0.06213,0.19,0.13905,0.19,0.03846,0.19,0.2288,0.19,0,0.14793,0.19,0.15187
0.192,0.24655,0.192,0.05917,0.192,0.13807,0.192,0.0355,0.192,0.22288,0.192,0.00493,0.13807,0.192,0.15878
0.194,0.23767,0.194,0.06016,0.194,0.13708,0.194,0.02959,0.194,0.21795,0.194,0,0.16371,0.194,0.15779
0.196,0.25247,0.196,0.04931,0.196,0.13609,0.196,0.04043,0.196,0.22189,0.196,0,0.15187,0.196,0.15187
0.198,0.23669,0.198,0.06312,0.198,0.13905,0.198,0.04241,0.198,0.21598,0.198,0,0.1568,0.198,0.1499
0.2,0.2426,0.2,0.05621,0.2,0.13905,0.2,0.03452,0.2,0.22288,0.2,0,0.15483,0.2,0.15385
0.202,0.2357,0.202,0.0641,0.202,0.13708,0.202,0.01775,0.202,0.22387,0.202,0,0.16864,0.202,0.1568
0.204,0.23471,0.204,0.0641,0.204,0.13708,0.204,0.04241,0.204,0.21006,0.204,0,0.15582,0.204,0.15976
0.206,0.24556,0.206,0.05523,0.206,0.14201,0.206,0.03057,0.206,0.22387,0.206,0,0.15286,0.206,0.15385
0.208,0.23373,0.208,0.0641,0.208,0.13807,0.208,0.04142,0.208,0.23077,0.208,0,0.13708,0.208,0.15878
0.21,0.24655,0.21,0.06016,0.21,0.13215,0.21,0.04043,0.21,0.21006,0.21,0,0.16864,0.21,0.14596
0.212,0.24458,0.212,0.05917,0.212,0.13511,0.212,0.03452,0.212,0.21893,0.212,0.00493,0.1568,0.212,0.1499
0.214,0.24162,0.214,0.06213,0.214,0.13116,0.214,0.04043,0.214,0.22978,0.214,0.00493,0.13708,0.214,0.1568
0.216,0.24359,0.216,0.05819,0.216,0.13708,0.216,0.03945,0.216,0.22584,0.216,0,0.14596,0.216,0.15385
0.218,0.23471,0.218,0.06016,0.218,0.14004,0.218,0.03353,0.218,0.2288,0.218,0.00493,0.13708,0.218,0.16469
0.22,0.26726,0.22,0.05424,0.22,0.13314,0.22,0.03156,0.22,0.23077,0.22,0,0.143,0.22,0.14398
0.222,0.24458,0.222,0.06213,0.222,0.14004,0.222,0.03748,0.222,0.22387,0.222,0.00493,0.15187,0.222,0.13905
0.224,0.24162,0.224,0.06114,0.224,0.13708,0.224,0.04339,0.224,0.21598,0.224,0,0.15976,0.224,0.14497
0.226,0.24162,0.226,0.06312,0.226,0.13609,0.226,0.03156,0.226,0.22485,0.226,0.00493,0.14892,0.226,0.15286
0.228,0.24359,0.228,0.06016,0.228,0.13609,0.228,0.04043,0.228,0.22189,0.228,0.00493,0.14201,0.228,0.15483
0.23,0.24063,0.23,0.06114,0.23,0.13807,0.23,0.04142,0.23,0.21203,0.23,0,0.16568,0.23,0.14497
0.232,0.24359,0.232,0.06213,0.232,0.13511,0.232,0.03846,0.232,0.22189,0.232,0,0.15385,0.232,0.14892
0.234,0.23471,0.234,0.06016,0.234,0.13905,0.234,0.04339,0.234,0.21992,0.234,0,0.15483,0.234,0.15187
0.236,0.25049,0.236,0.06312,0.236,0.13116,0.236,0.03057,0.236,0.21203,0.236,0,0.16765,0.236,0.14892
0.238,0.24655,0.238,0.06114,0.238,0.13314,0.238,0.03353,0.238,0.21499,0.238,0,0.16371,0.238,0.15089
0.24,0.24951,0.24,0.06016,0.24,0.13412,0.24,0.03748,0.24,0.22189,0.24,0.00493,0.15385,0.24,0.14201
0.242,0.23964,0.242,0.05819,0.242,0.14398,0.242,0.04339,0.242,0.21203,0.242,0,0.15286,0.242,0.15385
0.244,0.24063,0.244,0.06114,0.244,0.12919,0.244,0.04142,0.244,0.21893,0.244,0.00493,0.14497,0.244,0.16272
0.246,0.23471,0.246,0.06114,0.246,0.14497,0.246,0.03748,0.246,0.214,0.246,0.00493,0.16272,0.246,0.14398
0.248,0.24458,0.248,0.06114,0.248,0.13708,0.248,0.03452,0.248,0.214,0.248,0.00493,0.16075,0.248,0.14694
0.25,0.24458,0.25,0.06114,0.25,0.13905,0.25,0.03846,0.25,0.21696,0.25,0,0.15582,0.25,0.14793
0.252,0.24852,0.252,0.05621,0.252,0.14004,0.252,0.04241,0.252,0.21696,0.252,0,0.15483,0.252,0.14497
0.254,0.25542,0.254,0.05227,0.254,0.13807,0.254,0.0286,0.254,0.22091,0.254,0.00493,0.15385,0.254,0.1499
0.256,0.24162,0.256,0.05621,0.256,0.14497,0.256,0.04536,0.256,0.22189,0.256,0,0.15286,0.256,0.14103
0.258,0.25148,0.258,0.05917,0.258,0.13412,0.258,0.03452,0.258,0.21302,0.258,0.00493,0.15976,0.258,0.14694
0.26,0.25247,0.26,0.05621,0.26,0.13412,0.26,0.03748,0.26,0.21499,0.26,0,0.16371,0.26,0.14497
0.262,0.24655,0.262,0.05325,0.262,0.14201,0.262,0.04832,0.262,0.21795,0.262,0,0.14004,0.262,0.15582
0.264,0.2426,0.264,0.06213,0.264,0.13905,0.264,0.03846,0.264,0.21795,0.264,0,0.15483,0.264,0.14892
0.266,0.24951,0.266,0.0641,0.266,0.13215,0.266,0.04241,0.266,0.22189,0.266,0,0.14398,0.266,0.1499
0.268,0.24162,0.268,0.05819,0.268,0.143,0.268,0.02761,0.268,0.2288,0.268,0,0.15385,0.268,0.15089
0.27,0.24458,0.27,0.06312,0.27,0.13609,0.27,0.01874,0.27,0.22584,0.27,0,0.16371,0.27,0.15187
0.272,0.2426,0.272,0.05819,0.272,0.13905,0.272,0.03452,0.272,0.21893,0.272,0.00493,0.15286,0.272,0.15286
0.274,0.24063,0.274,0.05819,0.274,0.143,0.274,0.03452,0.274,0.21992,0.274,0,0.15976,0.274,0.14793
0.276,0.24359,0.276,0.06114,0.276,0.14103,0.276,0.02367,0.276,0.22682,0.276,0.00493,0.15483,0.276,0.14793
0.278,0.25049,0.278,0.0572,0.278,0.13018,0.278,0.02761,0.278,0.23077,0.278,0,0.16075,0.278,0.14694
0.28,0.23866,0.28,0.06114,0.28,0.13807,0.28,0.04043,0.28,0.22584,0.28,0,0.14497,0.28,0.15483
0.282,0.24063,0.282,0.05917,0.282,0.13708,0.282,0.02465,0.282,0.21696,0.282,0.00493,0.1716,0.282,0.14892
0.284,0.23866,0.284,0.05819,0.284,0.13905,0.284,0.03254,0.284,0.23274,0.284,0.00493,0.14497,0.284,0.15286
0.286,0.25937,0.286,0.05819,0.286,0.12722,0.286,0.03649,0.286,0.23176,0.286,0,0.13708,0.286,0.15385
0.288,0.23866,0.288,0.05819,0.288,0.143,0.288,0.03748,0.288,0.22288,0.288,0.00493,0.14201,0.288,0.1568
0.29,0.23866,0.29,0.06607,0.29,0.13807,0.29,0.03748,0.29,0.23176,0.29,0,0.14398,0.29,0.14793
