title,p27 - MD results - multiple x,,,,,,
plot_type,grid-line,,,,,,
x_label,Time (ns),,,,,,
color,#000000,,#FD5200,,#0000FF,,#FF8000
label,Radius of Gyration,,Surface Area,,PA,,EHSS
y_labels,Rg (AA),,SASA (A^2),,CCS (A^2),,CCS (A^2)
label_unit,A,,A2,,A2,,A2
axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y
0.518,31.4047,0.518,24637.9001,0.518,4695.55,0.518,6181.13
0.52,31.3844,0.52,24443.1889,0.52,4700.81,0.52,6192.12
0.522,31.3763,0.522,24752.0587,0.522,4684.72,0.522,6168.92
0.524,31.413,0.524,24321.1832,0.524,4680.09,0.524,6158.9
0.526,31.4501,0.526,24514.4016,0.526,4681.43,0.526,6160.65
0.528,31.4821,0.528,24497.4451,0.528,4698.35,0.528,6195.57
0.53,31.4159,0.53,24412.4537,0.53,4688.53,0.53,6173.41
0.532,31.4373,0.532,24484.1199,0.532,4691.14,0.532,6181.77
0.534,31.3989,0.534,24327.0827,0.534,4683.81,0.534,6167.68
0.536,31.4837,0.536,24580.0096,0.536,4699.13,0.536,6188.02
0.538,31.5002,0.538,24434.2254,0.538,4710.78,0.538,6216.33
0.54,31.4469,0.54,24060.1757,0.54,4695.19,0.54,6188.13
0.542,31.541,0.542,24678.628,0.542,4699.41,0.542,6187.84
0.544,31.6119,0.544,24718.2721,0.544,4707.25,0.544,6195.3
0.546,31.543,0.546,24895.5325,0.546,4713.44,0.546,6211.16
0.548,31.4101,0.548,24752.2748,0.548,4692.22,0.548,6178.66
0.55,31.4012,0.55,24757.4469,0.55,4696.66,0.55,6187.26
0.552,31.4187,0.552,24229.5207,0.552,4672.73,0.552,6155.56
0.554,31.4709,0.554,24341.4154,0.554,4694.39,0.554,6187.12
0.556,31.4927,0.556,24149.8265,0.556,4685.84,0.556,6170.52
0.558,31.5506,0.558,24841.0478,0.558,4707.88,0.558,6201.91
0.56,31.4401,0.56,24194.8852,0.56,4690.59,0.56,6172.63
0.562,31.4005,0.562,24245.0462,0.562,4675.33,0.562,6156.13
0.564,31.5157,0.564,25181.3197,0.564,4712.66,0.564,6208.61
0.566,31.4823,0.566,24912.6558,0.566,4690.94,0.566,6185.9
0.568,31.5059,0.568,24506.6652,0.568,4692.99,0.568,6179.91
0.57,31.5328,0.57,24435.9224,0.57,4698.5,0.57,6190.26
0.572,31.5431,0.572,24511.1906,0.572,4704.19,0.572,6197.16
0.574,31.5515,0.574,24775.8996,0.574,4701.54,0.574,6190.05
0.576,31.5846,0.576,24467.0233,0.576,4694.93,0.576,6176.35
0.578,31.6023,0.578,24613.5454,0.578,4700.44,0.578,6187.14
0.58,31.5739,0.58,24626.199,0.58,4700.62,0.58,6193.4
0.582,31.4448,0.582,24059.1579,0.582,4686.08,0.582,6171.95
0.584,31.5526,0.584,24504.7019,0.584,4695.45,0.584,6180.17
0.586,31.4777,0.586,24438.9801,0.586,4680.91,0.586,6161.16
0.588,31.4315,0.588,24632.4696,0.588,4686.39,0.588,6177.26
0.59,31.5011,0.59,25143.0225,0.59,4701.42,0.59,6190.22
0.592,31.4723,0.592,24400.7898,0.592,4703.54,0.592,6198.12
0.594,31.4731,0.594,24630.1085,0.594,4693.45,0.594,6186.64
0.596,31.503,0.596,24395.7992,0.596,4697.17,0.596,6195.79
0.598,31.5246,0.598,24546.9689,0.598,4703.93,0.598,6192.99
0.6,31.4748,0.6,24268.5643,0.6,4694.95,0.6,6187.61
0.602,31.4553,0.602,24424.0365,0.602,4706.25,0.602,6195.13
0.604,31.4637,0.604,24295.5783,0.604,4688.54,0.604,6167.41
0.606,31.4895,0.606,24435.0303,0.606,4695.25,0.606,6188.98
0.608,31.6267,0.608,25060.0234,0.608,4711.84,0.608,6206.33
0.61,31.5547,0.61,24649.1058,0.61,4699.29,0.61,6189.59
0.612,31.4894,0.612,24373.5497,0.612,4696.23,0.612,6182.76
0.614,31.5023,0.614,24276.5187,0.614,4701.77,0.614,6191.18
0.616,31.4796,0.616,24449.3163,0.616,4699.61,0.616,6198.78
0.618,31.5179,0.618,24394.6426,0.618,4706.08,0.618,6196.71
0.62,31.5764,0.62,24716.9184,0.62,4714.8,0.62,6211.57
0.622,31.504,0.622,24430.2257,0.622,4697.4,0.622,6188.83
0.624,31.5051,0.624,23869.726,0.624,4692,0.624,6174.86
0.626,31.4788,0.626,24034.1599,0.626,4690.97,0.626,6186.38
0.628,31.4772,0.628,24567.3462,0.628,4691.45,0.628,6182.26
0.63,31.4467,0.63,24219.6771,0.63,4692.52,0.63,6180.14
0.632,31.4392,0.632,24285.8131,0.632,4686.56,0.632,6177.63
0.634,31.492,0.634,24199.3098,0.634,4688.81,0.634,6167.24
0.636,31.5203,0.636,24443.4312,0.636,4693.94,0.636,6178.52
0.638,31.6017,0.638,24787.1674,0.638,4706.91,0.638,6205.11
0.64,31.5976,0.64,24846.0867,0.64,4700.85,0.64,6200.08
0.642,31.5091,0.642,24547.1193,0.642,4694.56,0.642,6187.44
0.644,31.5405,0.644,25086.6701,0.644,4715.52,0.644,6219.94
0.646,31.5689,0.646,24640.1276,0.646,4707.93,0.646,6204.38
0.648,31.6069,0.648,24927.0616,0.648,4719.22,0.648,6219.21
0.65,31.437,0.65,24483.6793,0.65,4686.61,0.65,6175.65
0.652,31.4098,0.652,24291.103,0.652,4684.42,0.652,6170.06
0.654,31.4171,0.654,25088.6076,0.654,4690.05,0.654,6179.88
0.656,31.5147,0.656,24621.9687,0.656,4701.17,0.656,6195.4
0.658,31.5325,0.658,24708.5835,0.658,4703.98,0.658,6203.57
0.66,31.5443,0.66,24950.0777,0.66,4714.55,0.66,6219.73
0.662,31.5223,0.662,24549.6709,0.662,4699.22,0.662,6184.5
0.664,31.5338,0.664,24680.5026,0.664,4700.35,0.664,6195.01
0.666,31.524,0.666,24509.3492,0.666,4692.83,0.666,6185.35
0.668,31.4836,0.668,24510.7785,0.668,4687.31,0.668,6173.77
0.67,31.5121,0.67,24627.5961,0.67,4695.86,0.67,6179.33
0.672,31.5451,0.672,24355.1833,0.672,4685.6,0.672,6169.17
0.674,31.4935,0.674,24230.8922,0.674,4678.01,0.674,6153.18
0.676,31.4196,0.676,23607.0535,0.676,4667.82,0.676,6141.28
0.678,31.4878,0.678,24781.8911,0.678,4695.82,0.678,6181.66
0.68,31.504,0.68,24278.5622,0.68,4690.47,0.68,6175.14
0.682,31.5669,0.682,24511.2524,0.682,4688.95,0.682,6173.37
0.684,31.625,0.684,24386.2887,0.684,4699.58,0.684,6187.13
0.686,31.6006,0.686,24803.1049,0.686,4710.45,0.686,6203.1
0.688,31.6145,0.688,24724.9972,0.688,4701.7,0.688,6189.87
0.69,31.6287,0.69,24715.5948,0.69,4692.18,0.69,6174.53
0.692,31.5753,0.692,24918.4038,0.692,4705.63,0.692,6188.64
0.694,31.6164,0.694,24515.5289,0.694,4707.9,0.694,6197.87
0.696,31.565,0.696,24634.9714,0.696,4700.06,0.696,6179.67
0.698,31.5792,0.698,24468.0927,0.698,4691,0.698,6174.96
0.7,31.5427,0.7,24581.841,0.7,4689.43,0.7,6173.77
0.702,31.5307,0.702,24892.0863,0.702,4692.47,0.702,6177.21
0.704,31.5668,0.704,24524.0516,0.704,4702.57,0.704,6194.5
0.706,31.5187,0.706,24740.874,0.706,4687.41,0.706,6163.06
0.708,31.5087,0.708,24380.4512,0.708,4686.47,0.708,6166.38
0.71,31.5846,0.71,24667.7582,0.71,4692.16,0.71,6178.61
0.712,31.5844,0.712,24776.2889,0.712,4697.44,0.712,6187.45
