title,p27 - MD results,,,
plot_type,grid-line,,,
x_label,Time (ns),,,
color,#000000,#FD5200,#0000FF,#FF8000
label,Radius of Gyration,Surface Area,PA,EHSS
y_labels,Rg (AA),SASA (A^2),CCS (A^2),CCS (A^2)
label_unit,A,A2,A2,A2
axis_x,axis_y,axis_y,axis_y,axis_y
0.532,31.4373,24484.1199,4691.14,6181.77
0.534,31.3989,24327.0827,4683.81,6167.68
0.536,31.4837,24580.0096,4699.13,6188.02
0.538,31.5002,24434.2254,4710.78,6216.33
0.54,31.4469,24060.1757,4695.19,6188.13
0.542,31.541,24678.628,4699.41,6187.84
0.544,31.6119,24718.2721,4707.25,6195.3
0.546,31.543,24895.5325,4713.44,6211.16
0.548,31.4101,24752.2748,4692.22,6178.66
0.55,31.4012,24757.4469,4696.66,6187.26
0.552,31.4187,24229.5207,4672.73,6155.56
0.554,31.4709,24341.4154,4694.39,6187.12
0.556,31.4927,24149.8265,4685.84,6170.52
0.558,31.5506,24841.0478,4707.88,6201.91
0.56,31.4401,24194.8852,4690.59,6172.63
0.562,31.4005,24245.0462,4675.33,6156.13
0.564,31.5157,25181.3197,4712.66,6208.61
0.566,31.4823,24912.6558,4690.94,6185.9
0.568,31.5059,24506.6652,4692.99,6179.91
0.57,31.5328,24435.9224,4698.5,6190.26
0.572,31.5431,24511.1906,4704.19,6197.16
0.574,31.5515,24775.8996,4701.54,6190.05
0.576,31.5846,24467.0233,4694.93,6176.35
0.578,31.6023,24613.5454,4700.44,6187.14
0.58,31.5739,24626.199,4700.62,6193.4
0.582,31.4448,24059.1579,4686.08,6171.95
0.584,31.5526,24504.7019,4695.45,6180.17
0.586,31.4777,24438.9801,4680.91,6161.16
0.588,31.4315,24632.4696,4686.39,6177.26
0.59,31.5011,25143.0225,4701.42,6190.22
0.592,31.4723,24400.7898,4703.54,6198.12
0.594,31.4731,24630.1085,4693.45,6186.64
0.596,31.503,24395.7992,4697.17,6195.79
0.598,31.5246,24546.9689,4703.93,6192.99
0.6,31.4748,24268.5643,4694.95,6187.61
0.602,31.4553,24424.0365,4706.25,6195.13
0.604,31.4637,24295.5783,4688.54,6167.41
0.606,31.4895,24435.0303,4695.25,6188.98
0.608,31.6267,25060.0234,4711.84,6206.33
0.61,31.5547,24649.1058,4699.29,6189.59
0.612,31.4894,24373.5497,4696.23,6182.76
0.614,31.5023,24276.5187,4701.77,6191.18
0.616,31.4796,24449.3163,4699.61,6198.78
0.618,31.5179,24394.6426,4706.08,6196.71
0.62,31.5764,24716.9184,4714.8,6211.57
0.622,31.504,24430.2257,4697.4,6188.83
0.624,31.5051,23869.726,4692,6174.86
0.626,31.4788,24034.1599,4690.97,6186.38
0.628,31.4772,24567.3462,4691.45,6182.26
0.63,31.4467,24219.6771,4692.52,6180.14
0.632,31.4392,24285.8131,4686.56,6177.63
0.634,31.492,24199.3098,4688.81,6167.24
0.636,31.5203,24443.4312,4693.94,6178.52
0.638,31.6017,24787.1674,4706.91,6205.11
0.64,31.5976,24846.0867,4700.85,6200.08
0.642,31.5091,24547.1193,4694.56,6187.44
0.644,31.5405,25086.6701,4715.52,6219.94
0.646,31.5689,24640.1276,4707.93,6204.38
0.648,31.6069,24927.0616,4719.22,6219.21
0.65,31.437,24483.6793,4686.61,6175.65
0.652,31.4098,24291.103,4684.42,6170.06
0.654,31.4171,25088.6076,4690.05,6179.88
0.656,31.5147,24621.9687,4701.17,6195.4
0.658,31.5325,24708.5835,4703.98,6203.57
0.66,31.5443,24950.0777,4714.55,6219.73
0.662,31.5223,24549.6709,4699.22,6184.5
0.664,31.5338,24680.5026,4700.35,6195.01
0.666,31.524,24509.3492,4692.83,6185.35
0.668,31.4836,24510.7785,4687.31,6173.77
0.67,31.5121,24627.5961,4695.86,6179.33
0.672,31.5451,24355.1833,4685.6,6169.17
0.674,31.4935,24230.8922,4678.01,6153.18
0.676,31.4196,23607.0535,4667.82,6141.28
